,_latitude,_longitude,_version,_index,_created_duration,_updated_duration,_edited_duration,number_of_customers_in_store,number_of_suppliers_in_store,number_of_cases_boxes_delivered,_child_record_id,_record_id,_parent_id,_title,_created_at,_updated_at,_created_by,_updated_by,_geometry,_changeset_id,name_of_the_store,entering_the_store,trolley_in_use,leaving_the_store
0,19.0596667,-98.2338643,1,0,61.0,3.0,64.0,1.0,1.0,15.0,12645bc3-33b6-4cc0-9c8e-9d8e6f35aa01,04e64464-3fbd-4ce1-99d8-5364e1567e8c,04e64464-3fbd-4ce1-99d8-5364e1567e8c,La fete,2022-11-12 18:00:54 UTC,2022-11-12 18:02:03 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2338643 19.0596667),1f557f2f-5ba3-4de9-aa53-86fc8bc120eb,La fete,23:50,no,12:12
1,19.0530488,-98.2294218,1,0,80.0,80.0,80.0,0.0,2.0,5.2,be0fc402-769c-41f8-90f1-1b0c9f151e7a,cda7b134-7827-4830-9337-53f46be4f8b4,cda7b134-7827-4830-9337-53f46be4f8b4,Casa Flores ,2022-11-12 16:54:27 UTC,2022-11-12 16:55:48 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2294218 19.0530488),6cbfadf7-671c-4a48-8ac4-0ad1e94d426a,Casa Flores ,10:35,no,11:00
2,19.0517402,-98.232677,1,0,25.0,61.0,86.0,0.0,1.0,12.0,634bbd94-8159-4733-973a-36ab89fb95d4,cbaab095-ad31-4145-804b-ddc218681802,cbaab095-ad31-4145-804b-ddc218681802,Super deux,2022-11-12 16:43:26 UTC,2022-11-12 16:45:00 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.232677 19.0517402),e4868227-703c-4c41-b9fe-31fad435c1f9,Super deux,10:35,no,10:50
3,19.0529905,-98.2339909,1,0,41.0,7.0,48.0,0.0,1.0,3.0,cf8e05ea-0af9-4a66-9d8b-27c0cf572236,68b5ecad-36b0-4172-b2b3-43aebd0485ec,68b5ecad-36b0-4172-b2b3-43aebd0485ec,Dansk,2022-11-12 16:37:55 UTC,2022-11-12 16:38:54 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2339909 19.0529905),644c5a56-bd04-4959-afc3-017fbb7112e6,Dansk,10:22,no,10:43
4,19.0553894,-98.2301302,1,0,76.0,76.0,76.0,0.0,1.0,1.0,a1ff05ef-fe15-472e-ad6d-537c951afce4,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,Ink Factory,2022-11-12 16:19:57 UTC,2022-11-12 16:21:14 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2301302 19.0553894),de88df96-b59b-4aca-bb27-5817dd9ddda0,Ink Factory,10:13,yes,10:33
5,19.0531043,-98.2271606,1,0,53.0,53.0,53.0,7.0,1.0,3.0,9e96f584-f5b2-4e7d-a754-a34fc89d5139,2b8a179a-521c-4ee3-a5ef-241fd1972b01,2b8a179a-521c-4ee3-a5ef-241fd1972b01,Breaking Bread Coffee,2022-11-12 15:59:13 UTC,2022-11-12 16:00:07 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2271606 19.0531043),3bb014cc-8973-49bb-9942-924bc871ddb9,Breaking Bread Coffee,09:48,no,10:06
6,19.04590291,-98.20348741,1,0,0.0,8.0,8.0,1.0,1.0,3.0,531eb119-cab7-4ba9-8a25-489e91ec2a5a,3aa26fc8-4373-4387-ac50-4f7b0d417107,3aa26fc8-4373-4387-ac50-4f7b0d417107,Abarrotes vinos y licores La ranita ,2022-11-10 18:31:16 UTC,2022-11-11 01:23:59 UTC,Sandra Carreón,Sandra Carreón,SRID=4326;POINT(-98.20348740564492 19.04590290506943),0348df3f-5259-4d89-a718-46c32bd656f0,Abarrotes vinos y licores La ranita ,12:29,no,12:33
7,19.02348801,-98.20328097,1,0,0.0,4.0,4.0,2.0,1.0,3.0,17995e32-9ed3-4a27-8da3-b4e1d942ad36,5288fd44-2899-4765-9195-3f866d2e6d45,5288fd44-2899-4765-9195-3f866d2e6d45,Abarrotes vinos y licores La ranita ,2022-11-11 04:30:19 UTC,2022-11-11 05:27:33 UTC,Sandra Carreón,Sandra Carreón,SRID=4326;POINT(-98.20328097193406 19.02348801265978),eeddf981-d881-474d-b3a4-154d38765c43,Abarrotes vinos y licores La ranita ,12:56,no,13:01
8,19.04645891,-98.19369793,1,0,0.0,116.0,116.0,2.0,1.0,2.0,009bf340-321a-4739-84b4-d80029770d10,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,Mony,2022-11-11 22:44:44 UTC,2022-11-11 22:46:40 UTC,Sandra Carreón,Sandra Carreón,SRID=4326;POINT(-98.19369792680496 19.046458906552267),9f1c577d-d44e-46c7-a12c-b8eb349ecf48,Mony,16:28,no,16:28
9,19.0658682,-98.3105623,1,0,14.8,85.4,89.1,3.0,2.0,11.0,c78336c3-d0ab-4e08-bc2e-f15af41f76fb,6f431744-a51b-4b36-b33f-13fb860ef131,6f431744-a51b-4b36-b33f-13fb860ef131,Tomales y molino Anita,2022-11-04 21:57:43 UTC,2022-11-04 22:11:37 UTC,José Varela,José Varela,SRID=4326;POINT(-98.3105623 19.0658682),c63f354b-3913-4716-bc54-f14b3b223b4c,Tomales y molino Anita,16:02,yes,16:19
10,19.0645079,-98.3113028,1,0,167.0,167.0,167.0,2.0,2.0,12.0,a616737c-bcb2-4ad0-a82a-4ca917fab0fc,56562b58-bfeb-4165-8e3b-7bc0a5a224cf,56562b58-bfeb-4165-8e3b-7bc0a5a224cf,La michoacana,2022-11-04 21:49:56 UTC,2022-11-04 21:52:44 UTC,José Varela,José Varela,SRID=4326;POINT(-98.3113028 19.0645079),c63f354b-3913-4716-bc54-f14b3b223b4c,La michoacana,15:40,yes,15:55
11,19.04738531,-98.20425514,1,0,0.0,130.0,130.0,1.4,1.0,5.0,8e4d79db-4fa9-4c83-ba72-88b109a2a71b,af1d6ac9-3e31-42de-a4d2-873c080b8766,af1d6ac9-3e31-42de-a4d2-873c080b8766,Los globos ,2022-11-10 17:33:57 UTC,2022-11-10 17:36:08 UTC,Sandra Carreón,Sandra Carreón,SRID=4326;POINT(-98.20425514008605 19.04738530914319),0348df3f-5259-4d89-a718-46c32bd656f0,Los globos ,11:21,yes,11:30
12,19.04881857,-98.20005009,1,0,0.0,11.0,11.0,0.0,1.0,24.0,89943c66-9129-458f-a295-6ecc61b4dfa2,9eac0dba-fb4b-4947-ba68-c406dadb6887,9eac0dba-fb4b-4947-ba68-c406dadb6887,Muebles Bustos,2022-11-10 16:26:45 UTC,2022-11-10 16:32:13 UTC,Sandra Carreón,Sandra Carreón,SRID=4326;POINT(-98.20005008882984 19.04881856842529),0348df3f-5259-4d89-a718-46c32bd656f0,Muebles Bustos,10:15,no,10:32
13,18.99942929,-98.27405971,1,0,0.0,78.0,78.0,1.0,3.0,8.0,044b47df-e630-4ca7-ac15-2ba322760aae,e3de2e0f-79f4-4698-a6e4-064aa921a5fb,e3de2e0f-79f4-4698-a6e4-064aa921a5fb,Gaspachos Morelianos,2022-11-10 17:35:22 UTC,2022-11-10 17:36:41 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,SRID=4326;POINT(-98.27405971141629 18.999429285141723),e6356adb-d00a-4884-bf1c-ba51ad541c69,Gaspachos Morelianos,11:35,no,11:55
14,18.99942571,-98.2740789,1,0,0.0,46.0,46.0,2.0,1.0,2.0,98e21e5a-b7cc-4314-813e-b4cd016fbe67,75037107-c676-446a-ba1d-ab04881a6f67,75037107-c676-446a-ba1d-ab04881a6f67,Factory Blinds ,2022-11-10 17:35:17 UTC,2022-11-10 17:36:04 UTC,José López,José López,SRID=4326;POINT(-98.27407890055497 18.9994257134666),d12e4521-9723-4771-b5b2-b7cb56cf53e4,Factory Blinds ,11:35,no,11:40
